text,label
"אני גאה בך על ההישג הזה",0
"אל תדאג, הכל יהיה בסדר",0
"אתה תצליח, אני מאמין בך",0
"בוא נלמד יחד לקראת המבחן",0
"מתי המבחן במתמטיקה?",0
"שלח לי בבקשה את השיעורים",0
"איפה נפגשים אחר הצהריים?",0
"היה כיף היום, נדבר בערב",0
"אמא אמרה שנצא לטייל בשבת",0
"סבתא מבשלת ארוחת ערב מיוחדת",0
"ראיתי סרט מעולה אתמול",0
"קר מאוד היום בחוץ, קח מעיל",0
"בוא נזמין פיצה בערב",0
"אני לא מסכים איתך אבל זה בסדר",0
"בוא נדבר על זה בשקט",0
"אני אחכה לך אחרי הלימודים ונלך לגלידה",0
"תיזהר בדרך הביתה, יש הרבה מכוניות",0
"כולם דיברו עליך היום, אמרו שאתה מדהים",0
"לך על זה בביטחון, אתה תצליח",0
"אתה חבר כל כך טוב, תודה שאתה שם בשבילי",0
"בוא נעשה שיעורי בית ביחד",0
"מזל טוב ליום ההולדת, שיהיה יום נהדר",0
"אני מתגעגע אליך, בוא ניפגש",0
"עשית עבודה מצוינת בפרויקט",0
"תשמור על עצמך, נתראה בשבוע הבא",0
"בוא נצא לשחק בפארק",0
"איזה יופי של ציור ציירת",0
"אני שמח שאנחנו חברים",0
"תודה שעזרת לי עם השיעורים",0
"בוא ניפגש בספרייה ללמוד",0
"היום היה יום ממש כיף בבית ספר",0
"אתה תמיד יודע לשמח אותי",0
"נשמור על קשר גם בחופש הגדול",0
"בוא נצפה בסרט אחרי הלימודים",0
"תעביר לי בבקשה את המחברת מחר",0
"כל הכבוד שהתאמצת כל כך",0
"אני בטוח שתעשה עבודה נהדרת",0
"נדבר אחר כך, אני חייב לזוז",0
"תודה על ההזמנה, אשמח לבוא",0
"בוא נתאמן יחד לקראת התחרות",0
"אתה מבשל ממש טעים, כל הכבוד",0
"נתראה בשיעור, תביא את הספר",0
"אני מעריך מאוד את העזרה שלך",0
"בוא נעשה משהו כיף בסוף השבוע",0
"תשלח לי הודעה כשאתה מגיע",0
"היה נעים לדבר איתך, נמשיך מחר",0
"אני כאן בשבילך תמיד, אל תשכח",0
"בוא נחגוג יחד את ההצלחה שלך",0
"תעשה הפסקה, מגיע לך לנוח",0
"איזה מזג אוויר יפה היום",0
"בוא נלך לאכול משהו אחרי בית הספר",0
"תמשיך ככה, אתה בכיוון הנכון",0
"שיהיה לך יום מקסים, נדבר בערב",0
"אני אכסח אותך אחרי בית הספר",1
"תחטוף ממני מכות אם תמשיך",1
"אני אשבור לך את היד",1
"תקבל אגרוף בפרצוף",1
"אני ארביץ לך חזק",1
"אתה תצא מפה עם חבורות",1
"אני אבעט בך בהזדמנות הראשונה",1
"תיזהר או שתחטוף סטירה",1
"אני אמחק לך את החיוך מהפנים",1
"אתה תלך הביתה בוכה עם דם",1
"אני אדפוק אותך אם תתקרב",1
"תראה מה יקרה לך כשתהיה לבד",1
"אני אחכה לך עם עוד כמה חברים",1
"כולנו נבוא לחפש אותך",1
"אתה תצטער שנולדת",1
"אם לא תיתן לי את זה תצטער מאוד",1
"כדאי לך לא להגיע מחר לבית הספר",1
"אם תפתח את הפה תשלם ביוקר",1
"תעשה מה שאני אומר או שתראה",1
"אם תספר למורה אתה גמור",1
"אל תעז לסרב לי, אתה יודע מה יקרה",1
"תחשוב טוב לפני שתתעסק איתי",1
"אם לא תשתוק אני אטפל בך",1
"כדאי לך לשמור על הפה שלך",1
"אתה לא רוצה לראות אותי כועס",1
"אני מחכה לך בחוץ, אל תתמהמה",1
"נתפוס אותך בדרך הביתה",1
"אנחנו יודעים איפה אתה גר",1
"אני עוקב אחריך, תיזהר",1
"חכה שתצא, נהיה שם",1
"אין לך לאן לברוח ממני",1
"אני אמצא אותך בכל מקום שתלך",1
"תסתכל מאחוריך מדי פעם",1
"אנחנו נחכה לך בפינה",1
"לא משנה לאן תלך, נגיע אליך",1
"אם לא תעביר לי כסף אני מפיץ הכל",1
"תן לי להעתיק או שתחטוף",1
"שלח לי את הסיסמה או שתראה",1
"אם תספר להורים אני מפרסם את התמונות",1
"תעשה את זה או שכולם ידעו את הסוד",1
"אתה חייב לי, אז תשלם עכשיו",1
"תביא לי כסף מחר אחרת תצטער",1
"אם תלשין אתה תסבול",1
"תמחק את ההודעה או שאני מספר לכולם",1
"או שאתה משתף פעולה או שתצטער",1
"אני אחזיר לך על מה שעשית",1
"זה עוד לא נגמר בינינו",1
"אתה תשלם על כל מה שאמרת",1
"עוד תראה מה מחכה לך",1
"זה רק ההתחלה, חכה ותראה",1
"לא סיימתי איתך עדיין",1
"אני אנקום בך, זה בטוח",1
"אתה תתחרט על היום הזה",1
"עוד נתראה ואז תבין",1
"אני לא שוכח ולא סולח",1
"אתה לא יודע עם מי אתה מתעסק",1
"אני מסוכן יותר ממה שאתה חושב",1
"אל תבחן את הסבלנות שלי",1
"אתה משחק עם אש",1
"תיזהר בכל צעד שאתה עושה",1
"אני יכול להפוך לך את החיים לגיהינום",1
"אתה תלמד לפחד ממני",1
"כדאי לך להתחיל לחשוש",1
"אני אגרום לך לחרטה",1
"אתה תבכה עוד לפני שאסיים",1
"כל החבר'ה מחכים לך בחוץ",1
"כולנו נעשה לך את המוות",1
"הקבוצה כולה נגדך עכשיו",1
"נדאג שכל בית הספר ירדוף אותך",1
"כולנו נדאג שאתה גמור",1
"תראה מה נעשה לך כולנו יחד",1
"אף אחד לא יעזור לך כשנבוא",1
"כל החברים שלי מחפשים אותך",1
"אתה מול כולנו עכשיו",1
"נעשה לך בית ספר, חכה ותראה",1
"אם לא תעשה מה שאמרתי תיזרק מהקבוצה",1
"תמשיך ככה ותאבד את כל החברים",1
"אני אדאג שכולם ישנאו אותך",1
"אתה תישאר לבד אם תמשיך",1
"אני אהרוס לך את השם בכל בית הספר",1
"כולם ידעו מה עשית, אני אדאג לזה",1
"אני אפרסם עליך דברים שיהרסו אותך",1
"תראה איך כולם עוזבים אותך בגללי",1
"אני אעשה שלא ירצו אותך בשום מקום",1
"תמשיך ותראה איך אני מסדר אותך",1
"תזכור את הפרצוף שלי, אני חוזר",1
"אתה בסכנה אם לא תקשיב לי",1
"אני אחסל אותך חברתית",1
"תתכונן לגרוע מכל",1
"אני אלמד אותך לקח שלא תשכח",1
"אתה תתחנן שאעצור",1
"עוד יום אחד כזה ואתה גמור",1
"אל תגיד שלא הזהרתי אותך",1
"אני אשבור אותך לגמרי",1
"תסתלק מפה לפני שיהיה מאוחר",1
"אתה לא תראה את זה בא",1
"אני אעשה לך את היום הכי גרוע בחיים",1
"תיזהר, אני לא מבדח",1
"עוד מילה אחת ותצטער עליה",1
"אני אחכה לרגע הנכון לתפוס אותך",1
"אני אחכה לך בכניסה, נלך הביתה יחד",0
"תיזהר על המדרגות, הן קצת חלקות",0
"אתה עוד תראה כמה כיף יהיה בטיול",0
"חכה לי אחרי האימון, ניסע ביחד",0
"אם תצטרך עזרה אני כאן בשבילך",0
"כדאי לך לנוח טוב לפני המבחן",0
"נתפוס מקומות טובים בקולנוע",0
"אני אחזיר לך את הספר מחר בבוקר",0
"זה עוד לא נגמר, יש מערכה שנייה בסרט",0
"אתה תשלם על הפיצה ואני על השתייה",0
"כל החבר'ה מחכים לך במגרש, בוא כבר",0
"תזכור להביא מחר את המחברת",0
"נראה מה יקרה במשחק הערב",0
"אתה לא תאמין מה קרה לי היום",0
"חכה שתשמע את החדשות הטובות",0
"תסתכל מאחוריך, שכחת את התיק",0
"אני אמצא לך פתרון, אל תדאג",0
"כולנו נבוא לחגוג לך יום הולדת",0
"תיזהר בדרך, נתראה בבית ספר",0
"עוד נתראה בקרוב, היה כיף",0
"כדאי לך לטעום את העוגה שאמא הכינה",0
"אני אחזיר לך טובה על העזרה",0
"אל תעז לוותר, אתה כמעט שם",0
"אתה תתחרט אם תפספס את המסיבה",0
"כל החברים שלי אוהבים אותך",0
"נעשה שיעורים יחד אחרי בית ספר",0
"חכה לי בספרייה, אני מגיע",0
"אתה עוד תבין כמה זה שווה",0
"אני אדאג שיהיה לך יום נהדר",0
"תראה מה הבאתי לך, תשמח",0
"אתה מול כולנו במשחק, קדימה קבוצה",0
"אני מחכה לך בבית עם ארוחה חמה",0
"תיזהר לא לשכוח את הבקבוק",0
"עוד תראה כמה תצליח במבחן",0
"כדאי לך לישון מוקדם היום",0
"אני כאן אם אתה צריך לדבר",0
"נלך יחד, אל תלך לבד בחושך",0
"אתה תשלם לי בפעם הבאה, לא נורא",0
"כולם דיברו עליך לטובה היום",0
"חכה שאסיים ונצא לשחק",0
"אני אחפש אותך בהפסקה, נשב יחד",0
"תזכור שאני תמיד בצד שלך",0
"אל תגיד לאף אחד, זו הפתעה ליום הולדת",0
"אתה לא תראה מה חיכה לך, מתנה",0
"תתכונן ליום מדהים מחר",0
"אני לא מבדח, באמת גאה בך",0
